nome,tarefas,concluido
2072 - TO TOCANTINS - AV. SOMATIVA 2025 (ADET),medida_obj,False
2072 - TO TOCANTINS - AV. SOMATIVA 2025 (ADET),medida_ctx,False
2072 - TO TOCANTINS - AV. SOMATIVA 2025 (ADET),medida_esc,False
2072 - TO TOCANTINS - AV. SOMATIVA 2025 (ADET),pareamento,False
2072 - TO TOCANTINS - AV. SOMATIVA 2025 (ADET),rel_tratamento,False
2072 - TO TOCANTINS - AV. SOMATIVA 2025 (ADET),rel_verificacao,False
2073 - MG MINAS GERAIS - AV. SOMATIVA EF EM 2025,frop1,False
2073 - MG MINAS GERAIS - AV. SOMATIVA EF EM 2025,frop1_ret,False
2073 - MG MINAS GERAIS - AV. SOMATIVA EF EM 2025,frop2,False
2073 - MG MINAS GERAIS - AV. SOMATIVA EF EM 2025,frop3,False
2073 - MG MINAS GERAIS - AV. SOMATIVA EF EM 2025,dv_banco,False
2073 - MG MINAS GERAIS - AV. SOMATIVA EF EM 2025,dv_producao,False
2073 - MG MINAS GERAIS - AV. SOMATIVA EF EM 2025,imagem,False
2073 - MG MINAS GERAIS - AV. SOMATIVA EF EM 2025,conf_hmg,False
2073 - MG MINAS GERAIS - AV. SOMATIVA EF EM 2025,conf_pro_t1,False
2073 - MG MINAS GERAIS - AV. SOMATIVA EF EM 2025,recuperacao,False
2073 - MG MINAS GERAIS - AV. SOMATIVA EF EM 2025,recuperacao_t2,False
2073 - MG MINAS GERAIS - AV. SOMATIVA EF EM 2025,nm_aluno,False
2073 - MG MINAS GERAIS - AV. SOMATIVA EF EM 2025,categorizacao_tn,False
2073 - MG MINAS GERAIS - AV. SOMATIVA EF EM 2025,rel_categroizacao,False
2073 - MG MINAS GERAIS - AV. SOMATIVA EF EM 2025,certif_obj,False
2073 - MG MINAS GERAIS - AV. SOMATIVA EF EM 2025,certif_ctx,False
2073 - MG MINAS GERAIS - AV. SOMATIVA EF EM 2025,certif_nap,False
2073 - MG MINAS GERAIS - AV. SOMATIVA EF EM 2025,certif_esc,False
